"Date","Cases_daily","Deaths_daily"
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,1,0
2020-01-25,1,0
2020-01-26,2,0
2020-01-27,0,0
2020-01-28,6,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,5,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,6,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,7,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,1,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,1,0
2020-02-16,0,0
2020-02-17,1,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,2,0
2020-02-26,3,0
2020-02-27,0,0
2020-02-28,1,0
2020-02-29,1,0
2020-03-01,0,1
2020-03-02,1,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,4,0
2020-03-06,1,0
2020-03-07,2,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,3,0
2020-03-11,6,0
2020-03-12,11,0
2020-03-13,5,0
2020-03-14,7,0
2020-03-15,32,0
2020-03-16,33,0
2020-03-17,30,0
2020-03-18,35,0
2020-03-19,60,0
2020-03-20,50,0
2020-03-21,89,0
2020-03-22,188,0
2020-03-23,122,0
2020-03-24,106,3
2020-03-25,107,0
2020-03-26,111,0
2020-03-27,91,1
2020-03-28,109,1
2020-03-29,143,1
2020-03-30,136,2
2020-03-31,127,1
2020-04-01,120,2
2020-04-02,104,3
2020-04-03,103,4
2020-04-04,89,1
2020-04-05,102,3
2020-04-06,51,3
2020-04-07,38,1
2020-04-08,111,3
2020-04-09,54,2
2020-04-10,50,1
2020-04-11,45,2
2020-04-12,33,3
2020-04-13,28,2
2020-04-14,34,1
2020-04-15,30,2
2020-04-16,29,3
2020-04-17,28,1
2020-04-18,33,0
2020-04-19,32,0
2020-04-20,27,0
2020-04-21,19,1
2020-04-22,15,1
2020-04-23,13,1
2020-04-24,15,0
2020-04-25,53,1
2020-04-26,15,0
2020-04-27,9,1
2020-04-28,7,2
2020-04-29,9,0
2020-04-30,7,0
2020-05-01,6,0
2020-05-02,6,0
2020-05-03,3,0
2020-05-04,18,0
2020-05-05,1,0
2020-05-06,1,1
2020-05-07,3,0
2020-05-08,8,0
2020-05-09,4,1
2020-05-10,5,0
2020-05-11,6,0
2020-05-12,2,0
2020-05-13,0,0
2020-05-14,1,0
2020-05-15,7,0
2020-05-16,0,0
2020-05-17,3,0
2020-05-18,3,0
2020-05-19,2,0
2020-05-20,1,0
2020-05-21,3,0
2020-05-22,0,0
2020-05-23,3,0
2020-05-24,0,0
2020-05-25,2,1
2020-05-26,3,0
2020-05-27,9,0
2020-05-28,11,0
